term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	False	False	cosine	1,1,1,1	0.5436	0.3286	0.1664	0.0747	0.3462	0.3301	0.8943	0.6645
tfidf	False	False	cosine	3,3,4,1	0.5476	0.3532	0.1783	0.0600	0.3597	0.3370	0.8941	0.6617
tfidf	False	False	cosine	1,1,1,4	0.4716	0.2452	0.1433	0.0437	0.2867	0.2785	0.8874	0.6286
tfidf	False	True	cosine	1,1,1,1	0.5544	0.3327	0.1708	0.0763	0.3526	0.3345	0.8937	0.6699
tfidf	False	True	cosine	3,3,4,1	0.5481	0.3564	0.1835	0.0609	0.3627	0.3398	0.8894	0.6643
tfidf	False	True	cosine	1,1,1,4	0.4739	0.2579	0.1498	0.0498	0.2938	0.2845	0.8889	0.6410
tfidf	True	False	cosine	1,1,1,1	0.3785	0.2277	0.1181	0.0175	0.2414	0.2356	0.8356	0.5387
tfidf	True	False	cosine	3,3,4,1	0.3989	0.2593	0.1365	0.0166	0.2649	0.2477	0.8293	0.5424
tfidf	True	False	cosine	1,1,1,4	0.3350	0.1617	0.0701	0.0159	0.1889	0.1958	0.8334	0.5164
tfidf	True	True	cosine	1,1,1,1	0.3884	0.2333	0.1205	0.0198	0.2474	0.2383	0.8507	0.5511
tfidf	True	True	cosine	3,3,4,1	0.4146	0.2606	0.1395	0.0175	0.2716	0.2513	0.8492	0.5556
tfidf	True	True	cosine	1,1,1,4	0.3626	0.1912	0.0744	0.0170	0.2094	0.2074	0.8482	0.5307
